ACCT_ID,ACCT_TYP,ACCT_DESC,CRDT_LN,CR8_DT,CLSR_DT,ACCT_STAT_CD
1058,SB,Account 1058 ledger,11000,2023-01-16,,C
1059,CA,Account 1059 ledger,15000,2023-02-02,,D
1060,,Account 1060 ledger,47000,2019-04-27,,A
1061,SB ,Account 1061 ledger  ,  35000,2022-09-25,2025-06-30,D
1062,LN,Account 1062 ledger,42000,2019-08-03,,C
1063,FD,Account 1063 ledger,5000,2020-01-20,,C
1064,SB,Account 1064 ledger,24000,2019-01-20,,A
1065,CA,Account 1065 ledger  ,32000,2021-01-13,2025-06-30,C
1066,FD,Account 1066 ledger,  34000,2020-03-21,,C
1067,SB ,Account 1067 ledger,24000,2016-10-11,,A
1068,LN,Account 1068 ledger,47000,2023-06-16,,C
1069,LN,Account 1069 ledger  ,34000,2019-06-03,2025-06-30,D
1070,,Account 1070 ledger,21000,2017-06-04,,D
1071,FD,Account 1071 ledger,  17000,2018-03-13,,A
1072,CA,Account 1072 ledger,18000,2021-05-09,,D
1073,SB ,Account 1073 ledger  ,23000,2017-03-20,2025-06-30,C
1074,LN,Account 1074 ledger,28000,2019-11-04,,C
1075,FD,Account 1075 ledger,33000,2015-08-01,,C
1076,SB,Account 1076 ledger,  25000,2019-05-04,,A
1077,CA,Account 1077 ledger  ,46000,2017-04-03,2025-06-30,C
1078,FD,Account 1078 ledger,34000,2017-09-19,,A
1079,SB ,Account 1079 ledger,10000,2023-12-24,,D
1080,,Account 1080 ledger,17000,2022-02-15,,A
1081,CA,Account 1081 ledger  ,  49000,2019-08-08,2025-06-30,C
1082,SB,Account 1082 ledger,38000,2021-01-18,,C
1083,FD,Account 1083 ledger,25000,2022-04-24,,C
1084,FD,Account 1084 ledger,11000,2015-05-16,,A
1085,SB ,Account 1085 ledger  ,40000,2015-09-07,2025-06-30,A
1086,LN,Account 1086 ledger,  15000,2017-01-22,,A
1087,FD,Account 1087 ledger,11000,2016-09-20,,C
1088,SB,Account 1088 ledger,35000,2021-09-01,,C
1089,FD,Account 1089 ledger  ,25000,2023-07-08,2025-06-30,C
1090,,Account 1090 ledger,20000,2022-03-27,,A
1091,SB ,Account 1091 ledger,  23000,2023-12-02,,C
1092,LN,Account 1092 ledger,44000,2020-01-28,,A
1093,FD,Account 1093 ledger  ,6000,2022-11-01,2025-06-30,C
1094,SB,Account 1094 ledger,47000,2020-12-17,,C
1095,CA,Account 1095 ledger,43000,2020-11-22,,C
1096,CA,Account 1096 ledger,  24000,2022-04-26,,C
1097,SB ,Account 1097 ledger  ,5000,2017-10-11,2025-06-30,A
1098,FD,Account 1098 ledger,13000,2016-07-07,,A
1099,LN,Account 1099 ledger,30000,2018-03-11,,D
1100,,Account 1100 ledger,45000,2018-07-22,,C
1101,LN,Account 1101 ledger  ,  37000,2015-02-05,2025-06-30,A
1102,FD,Account 1102 ledger,33000,2015-01-19,,A
1103,SB ,Account 1103 ledger,41000,2018-01-19,,C
1104,CA,Account 1104 ledger,34000,2020-02-24,,A
1105,FD,Account 1105 ledger  ,19000,2016-10-08,2025-06-30,A
1106,SB,Account 1106 ledger,  11000,2015-10-05,,D
1107,CA,Account 1107 ledger,29000,2017-08-07,,D
1108,LN,Account 1108 ledger,34000,2019-12-20,,C
1109,SB ,Account 1109 ledger  ,16000,2023-09-27,2025-06-30,C
1110,,Account 1110 ledger,41000,2018-01-14,,A
1111,CA,Account 1111 ledger,  30000,2015-07-21,,D
1112,SB,Account 1112 ledger,50000,2015-01-14,,C
1113,LN,Account 1113 ledger  ,17000,2022-08-21,2025-06-30,A
1114,FD,Account 1114 ledger,10000,2016-01-11,,C
1115,SB ,Account 1115 ledger,48000,2019-07-14,,A
1116,LN,Account 1116 ledger,  41000,2019-11-13,,D
1117,CA,Account 1117 ledger  ,21000,2017-01-03,2025-06-30,C
1118,SB,Account 1118 ledger,1000,2021-09-11,,C
1119,CA,Account 1119 ledger,13000,2021-10-21,,A
1120,,Account 1120 ledger,35000,2020-02-18,,C
1121,SB ,Account 1121 ledger  ,  3000,2017-08-16,2025-06-30,A
1122,FD,Account 1122 ledger,45000,2023-01-27,,C
1123,CA,Account 1123 ledger,4000,2015-01-10,,C
1124,SB,Account 1124 ledger,50000,2022-03-19,,C
1125,LN,Account 1125 ledger  ,27000,2017-03-21,2025-06-30,D
1126,CA,Account 1126 ledger,  29000,2020-03-27,,C
1127,SB ,Account 1127 ledger,49000,2015-07-15,,D
1128,CA,Account 1128 ledger,5000,2022-07-27,,C
1129,FD,Account 1129 ledger  ,34000,2016-04-24,2025-06-30,C
1130,,Account 1130 ledger,28000,2017-08-24,,A
1131,CA,Account 1131 ledger,  7000,2015-10-28,,D
1132,FD,Account 1132 ledger,14000,2015-10-15,,A
1133,SB ,Account 1133 ledger  ,28000,2019-06-02,2025-06-30,A
1134,LN,Account 1134 ledger,31000,2015-09-05,,D
1135,LN,Account 1135 ledger,13000,2018-02-25,,C
1136,SB,Account 1136 ledger,  30000,2016-03-09,,D
1137,CA,Account 1137 ledger  ,26000,2022-08-27,2025-06-30,C
1138,LN,Account 1138 ledger,27000,2015-06-05,,C
1139,SB ,Account 1139 ledger,38000,2017-04-05,,C
1140,,Account 1140 ledger,43000,2019-03-11,,C
1141,LN,Account 1141 ledger  ,  33000,2019-10-14,2025-06-30,A
1142,SB,Account 1142 ledger,27000,2015-03-13,,C
1143,CA,Account 1143 ledger,4000,2015-12-05,,A
1144,FD,Account 1144 ledger,38000,2016-11-23,,D
1145,SB ,Account 1145 ledger  ,19000,2021-10-10,2025-06-30,D
1146,FD,Account 1146 ledger,  5000,2022-03-20,,A
1147,LN,Account 1147 ledger,16000,2023-09-28,,C
1148,SB,Account 1148 ledger,49000,2017-07-20,,C
1149,CA,Account 1149 ledger  ,23000,2018-04-25,2025-06-30,A
1150,,Account 1150 ledger,14000,2015-07-20,,D
