Key,LEAD_CO_MNE,BRANCH_CO_MNE,MIS_DATE,ID,DESCRIPTION,SHORT_NAME,CREATED_BY,CREATED_TIME,UPDATED_BY,UPDATED_TIME,ACTIVE_FLAG,START_DATE,END_DATE
15,BNK08,BR972,2023-12-31,REC00015,General ledger account 015,GL0015,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
16,BNK08,BR566,2023-12-31,REC00016,General ledger account 016,GL0016,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
17,BNK05,BR669,2023-12-31,REC00017,General ledger account 017,GL0017,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
18,BNK01,BR991,2023-12-31,REC00018,General ledger account 018,GL0018,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
19,BNK06,BR749,2023-12-31,REC00019,General ledger account 019,GL0019,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
20,BNK08,BR968,2023-12-31,REC00020,General ledger account 020,GL0020,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
21,BNK06,BR137,2023-12-31,REC00021,General ledger account 021,GL0021,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
22,BNK02,BR151,2023-12-31,REC00022,General ledger account 022,GL0022,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
23,BNK07,BR710,2023-12-31,REC00023,General ledger account 023,GL0023,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
24,BNK02,BR931,2023-12-31,REC00024,General ledger account 024,GL0024,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
25,BNK07,BR571,2023-12-31,REC00025,General ledger account 025,GL0025,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
26,BNK07,BR892,2023-12-31,REC00026,General ledger account 026,GL0026,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
27,BNK09,BR984,2023-12-31,REC00027,General ledger account 027,GL0027,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
28,BNK03,BR836,2023-12-31,REC00028,General ledger account 028,GL0028,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
29,BNK05,BR320,2023-12-31,REC00029,General ledger account 029,GL0029,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
30,BNK08,BR221,2023-12-31,REC00030,General ledger account 030,GL0030,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
31,BNK03,BR128,2023-12-31,REC00031,General ledger account 031,GL0031,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
32,BNK03,BR468,2023-12-31,REC00032,General ledger account 032,GL0032,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
33,BNK09,BR842,2023-12-31,REC00033,General ledger account 033,GL0033,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
34,BNK09,BR909,2023-12-31,REC00034,General ledger account 034,GL0034,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
35,BNK03,BR840,2023-12-31,REC00035,General ledger account 035,GL0035,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
36,BNK04,BR890,2023-12-31,REC00036,General ledger account 036,GL0036,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
37,BNK01,BR981,2023-12-31,REC00037,General ledger account 037,GL0037,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
38,BNK01,BR974,2023-12-31,REC00038,General ledger account 038,GL0038,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
39,BNK06,BR977,2023-12-31,REC00039,General ledger account 039,GL0039,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
40,BNK07,BR550,2023-12-31,REC00040,General ledger account 040,GL0040,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
41,BNK06,BR489,2023-12-31,REC00041,General ledger account 041,GL0041,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
42,BNK08,BR952,2023-12-31,REC00042,General ledger account 042,GL0042,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
43,BNK07,BR673,2023-12-31,REC00043,General ledger account 043,GL0043,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
44,BNK04,BR906,2023-12-31,REC00044,General ledger account 044,GL0044,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
45,BNK09,BR919,2023-12-31,REC00045,General ledger account 045,GL0045,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
46,BNK05,BR962,2023-12-31,REC00046,General ledger account 046,GL0046,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
47,BNK06,BR981,2023-12-31,REC00047,General ledger account 047,GL0047,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
48,BNK03,BR542,2023-12-31,REC00048,General ledger account 048,GL0048,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
49,BNK08,BR938,2023-12-31,REC00049,General ledger account 049,GL0049,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
50,BNK06,BR592,2023-12-31,REC00050,General ledger account 050,GL0050,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
51,BNK09,BR965,2023-12-31,REC00051,General ledger account 051,GL0051,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
52,BNK03,BR890,2023-12-31,REC00052,General ledger account 052,GL0052,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
53,BNK02,BR277,2023-12-31,REC00053,General ledger account 053,GL0053,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
54,BNK04,BR262,2023-12-31,REC00054,General ledger account 054,GL0054,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
55,BNK04,BR395,2023-12-31,REC00055,General ledger account 055,GL0055,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
56,BNK05,BR301,2023-12-31,REC00056,General ledger account 056,GL0056,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
57,BNK05,BR628,2023-12-31,REC00057,General ledger account 057,GL0057,IDWUSER,2023-12-31,IDWUSER,2023-12-31,Y,2023-01-01,9999-12-31
