PRODUCT_ID,PRODUCT_NM,PRODUCT_NO,COLOR,STD_COST,LIST_PRICE,SELL_ST_DT,SELL_ED_DT
PRD0051,Card Product 051,P051,Blue,731,947,07/06/2020,15/03/2024
PRD0052,Card Product 052,P052,Green,396,207,16/10/2021,13/06/2025
PRD0053,Card Product 053,P053,Silver,733,942,18/06/2021,06/02/2024
PRD0054,Card Product 054,P054,Red,355,991,21/02/2020,20/08/2025
PRD0055,Card Product 055,P055,Blue,678,466,04/01/2021,15/03/2026
PRD0056,Card Product 056,P056,Silver,571,990,19/11/2020,04/09/2025
PRD0057,Card Product 057,P057,White,481,626,28/10/2022,10/08/2026
PRD0058,Card Product 058,P058,White,861,174,06/03/2023,13/04/2025
PRD0059,Card Product 059,P059,Green,347,192,20/09/2023,15/09/2027
PRD0060,Card Product 060,P060,Green,27,319,21/12/2023,01/10/2025
PRD0061,Card Product 061,P061,Blue,445,567,09/09/2021,27/02/2026
PRD0062,Card Product 062,P062,Red,266,799,22/07/2022,11/08/2024
PRD0063,Card Product 063,P063,Green,835,142,10/07/2020,16/12/2027
PRD0064,Card Product 064,P064,Blue,856,650,17/10/2020,03/09/2026
PRD0065,Card Product 065,P065,Silver,119,921,20/08/2022,28/05/2027
PRD0066,Card Product 066,P066,Blue,519,872,08/09/2023,12/06/2025
PRD0067,Card Product 067,P067,White,929,795,22/06/2023,04/12/2024
PRD0068,Card Product 068,P068,Green,477,123,16/01/2022,15/11/2025
PRD0069,Card Product 069,P069,Black,153,764,17/08/2023,20/03/2026
PRD0070,Card Product 070,P070,Blue,768,351,27/12/2023,09/11/2027
PRD0071,Card Product 071,P071,Black,551,215,22/02/2021,20/04/2024
PRD0072,Card Product 072,P072,White,211,625,10/02/2022,19/06/2027
PRD0073,Card Product 073,P073,Silver,824,280,19/05/2022,06/03/2025
PRD0074,Card Product 074,P074,Black,493,727,16/03/2023,28/09/2024
PRD0075,Card Product 075,P075,Red,191,822,15/02/2023,06/10/2024
PRD0076,Card Product 076,P076,Silver,768,136,26/06/2023,05/07/2024
PRD0077,Card Product 077,P077,Silver,851,740,14/03/2021,17/10/2024
PRD0078,Card Product 078,P078,Red,219,598,01/11/2022,11/12/2026
PRD0079,Card Product 079,P079,Silver,405,627,14/10/2023,21/10/2024
PRD0080,Card Product 080,P080,Green,334,399,04/02/2020,04/08/2024
PRD0081,Card Product 081,P081,Black,332,868,22/08/2022,20/07/2027
PRD0082,Card Product 082,P082,Silver,802,628,02/11/2020,02/09/2025
PRD0083,Card Product 083,P083,White,307,534,14/03/2020,16/01/2025
PRD0084,Card Product 084,P084,Red,464,753,24/05/2023,27/08/2025
PRD0085,Card Product 085,P085,Black,777,550,03/05/2022,12/07/2025
PRD0086,Card Product 086,P086,Silver,227,960,04/09/2022,07/12/2026
PRD0087,Card Product 087,P087,Green,782,512,07/05/2021,24/07/2026
PRD0088,Card Product 088,P088,Blue,710,634,19/04/2023,03/03/2027
PRD0089,Card Product 089,P089,Red,462,119,25/12/2021,20/08/2026
PRD0090,Card Product 090,P090,White,255,964,11/12/2022,11/12/2027
PRD0091,Card Product 091,P091,Green,443,762,16/03/2020,17/06/2024
PRD0092,Card Product 092,P092,Black,60,468,27/01/2023,15/03/2027
PRD0093,Card Product 093,P093,Silver,527,498,07/06/2020,11/01/2025
PRD0094,Card Product 094,P094,Red,210,570,24/08/2023,12/01/2027
PRD0095,Card Product 095,P095,Green,465,355,17/04/2023,19/02/2025
PRD0096,Card Product 096,P096,Black,426,467,23/04/2023,07/07/2026
PRD0097,Card Product 097,P097,Blue,573,935,13/01/2023,05/03/2026
PRD0098,Card Product 098,P098,Blue,882,994,27/03/2021,20/11/2025
PRD0099,Card Product 099,P099,Black,776,857,25/01/2020,12/02/2027
PRD0100,Card Product 100,P100,White,328,839,03/12/2022,10/01/2024
PRD0101,Card Product 101,P101,Red,26,449,24/11/2020,08/02/2024
PRD0102,Card Product 102,P102,White,941,538,11/06/2021,23/09/2026
PRD0103,Card Product 103,P103,White,768,146,12/06/2023,06/02/2024
PRD0104,Card Product 104,P104,Red,48,935,05/05/2022,09/12/2025
PRD0105,Card Product 105,P105,White,195,798,10/03/2022,07/09/2026
PRD0106,Card Product 106,P106,Red,296,574,14/12/2020,07/07/2025
PRD0107,Card Product 107,P107,Black,723,796,18/03/2022,07/03/2026
PRD0108,Card Product 108,P108,Green,255,399,17/10/2021,08/02/2027
PRD0109,Card Product 109,P109,Black,752,235,05/06/2020,19/02/2025
PRD0110,Card Product 110,P110,Green,883,863,09/12/2021,01/11/2024
PRD0111,Card Product 111,P111,Black,579,119,18/04/2022,11/02/2026
PRD0112,Card Product 112,P112,Silver,989,880,24/10/2020,25/09/2024
PRD0113,Card Product 113,P113,Green,749,878,24/02/2022,23/03/2025
PRD0114,Card Product 114,P114,Blue,917,639,17/03/2021,21/05/2024
PRD0115,Card Product 115,P115,White,686,889,16/06/2020,08/05/2024
PRD0116,Card Product 116,P116,Red,838,165,24/05/2021,17/05/2025
PRD0117,Card Product 117,P117,Green,389,252,15/12/2022,14/10/2024
PRD0118,Card Product 118,P118,Silver,50,531,07/04/2020,27/10/2024
PRD0119,Card Product 119,P119,Green,826,186,19/03/2020,26/05/2027
PRD0120,Card Product 120,P120,Green,196,331,19/12/2020,08/08/2027
