LEAD_CO_MNE,BRANCH_CO_MNE,MIS_DATE,ID,DESCRIPTION,SHORT_NAME
BNK06,BR551,2024-01-31,REC00124,General ledger account 124,GL0124
BNK06,BR577,2024-01-31,REC00125,General ledger account 125,GL0125
BNK09,BR347,2024-01-31,REC00126,General ledger account 126,GL0126
BNK06,BR402,2024-01-31,REC00127,General ledger account 127,GL0127
BNK01,BR771,2024-01-31,REC00128,General ledger account 128,GL0128
BNK01,BR333,2024-01-31,REC00129,General ledger account 129,GL0129
BNK01,BR209,2024-01-31,REC00130,General ledger account 130,GL0130
BNK04,BR831,2024-01-31,REC00131,General ledger account 131,GL0131
BNK02,BR374,2024-01-31,REC00132,General ledger account 132,GL0132
BNK08,BR887,2024-01-31,REC00133,General ledger account 133,GL0133
BNK03,BR892,2024-01-31,REC00134,General ledger account 134,GL0134
BNK01,BR475,2024-01-31,REC00135,General ledger account 135,GL0135
BNK01,BR477,2024-01-31,REC00136,General ledger account 136,GL0136
BNK01,BR850,2024-01-31,REC00137,General ledger account 137,GL0137
