POLICY_ID,CUSTOMER_ID,POLICY_TYPE,STATUS,EFFECTIVE_DATE,EXPIRATION_DATE,ANNUAL_PREMIUM,SUM_INSURED,DEDUCTIBLE,RISK_CATEGORY,UNDERWRITING_CLASS,AGENT_ID,BRANCH_CODE
P0000053,C0000004,AUTO,LAPSED,18MAY2020,18MAY2023,469.00,45500.00,500.00,SPRM,UW4,AG0057,BR018
P0000054,C0000197,HOME,ACTIVE,25NOV2022,22NOV2032,7065.93,228000.00,2500.00,PREF,UW1,AG0052,BR005
P0000055,C0000074,HOME,ACTIVE,19JAN2022,17JAN2032,3511.88,588000.00,0.00,STD,UW4,AG0010,BR019
P0000056,C0000202,HOME,LAPSED,24AUG2021,24AUG2022,8886.98,304500.00,5000.00,STD,UW2,AG0053,BR010
P0000057,C0000112,TL,ACTIVE,09MAY2023,06MAY2033,24629.76,1061000.00,2500.00,STD,UW4,AG0048,BR003
P0000058,C0000207,AUTO,LAPSED,19JUL2020,18JUL2025,2208.09,58500.00,250.00,STD,UW3,AG0024,BR002
P0000059,C0000119,AUTO,ACTIVE,21DEC2023,19DEC2028,1977.62,56500.00,0.00,SUB,UW2,AG0018,BR023
P0000060,C0000050,AUTO,ACTIVE,23JUN2021,22JUN2024,1609.72,72000.00,250.00,STD,UW3,AG0043,BR009
P0000061,C0000104,AUTO,LAPSED,11MAR2021,11MAR2022,1391.16,79500.00,250.00,SUB,UW2,AG0004,BR002
P0000062,C0000147,TL,CANCELLED,07MAY2021,30APR2051,7871.77,298500.00,5000.00,STD,UW4,AG0005,BR015
P0000063,C0000194,AUTO,ACTIVE,11AUG2022,10AUG2027,1068.36,62500.00,0.00,STD,UW1,AG0028,BR020
P0000064,C0000206,HLTH,LAPSED,11AUG2021,11AUG2022,8102.82,284000.00,1000.00,SPRM,UW1,AG0031,BR004
P0000065,C0000187,HOME,ACTIVE,05APR2020,05APR2021,16846.21,535000.00,1000.00,PREF,UW2,AG0027,BR012
P0000066,C0000018,HLTH,ACTIVE,22NOV2022,24FEB2024,2237.99,112000.00,2500.00,STD,UW1,AG0046,BR019
P0000067,C0000218,HLTH,ACTIVE,12FEB2023,11FEB2026,1084.83,81500.00,5000.00,STD,UW3,AG0006,BR013
P0000068,C0000098,WL,ACTIVE,27JAN2022,20JAN2052,2648.59,356500.00,250.00,PREF,UW4,AG0021,BR009
P0000069,C0000235,AUTO,ACTIVE,09APR2021,08APR2024,827.51,55000.00,500.00,PREF,UW4,AG0044,BR024
P0000070,C0000069,HOME,ACTIVE,14AUG2022,11AUG2032,10436.58,540500.00,1000.00,PREF,UW1,AG0059,BR008
P0000071,C0000161,AUTO,ACTIVE,31MAR2023,30MAR2024,763.50,40500.00,5000.00,STD,UW1,AG0022,BR025
P0000072,C0000164,WL,ACTIVE,26SEP2022,18SEP2052,8404.13,281500.00,0.00,PREF,UW1,AG0044,BR011
P0000073,C0000170,AUTO,ACTIVE,28MAR2024,28MAR2025,2012.54,70500.00,0.00,STD,UW1,AG0039,BR019
P0000074,C0000152,AUTO,ACTIVE,05SEP2022,23FEB2024,864.03,30500.00,2500.00,PREF,UW2,AG0007,BR025
P0000075,C0000207,AUTO,ACTIVE,01AUG2021,01AUG2022,876.12,94000.00,5000.00,STD,UW3,AG0039,BR016
P0000076,C0000167,HOME,ACTIVE,29JUL2022,28JUL2025,15471.61,602500.00,1000.00,STD,UW2,AG0047,BR016
P0000077,C0000157,UMBR,ACTIVE,05JUL2022,12MAR2024,77219.37,4742000.00,1000.00,PREF,UW1,AG0003,BR001
P0000078,C0000184,AUTO,EXPIRED,01FEB2023,25NOV2023,707.64,30500.00,2500.00,STD,UW1,AG0059,BR008
P0000079,C0000061,TL,ACTIVE,07MAY2023,02MAY2043,2622.62,107500.00,500.00,PREF,UW1,AG0038,BR002
P0000080,C0000238,TL,ACTIVE,19JAN2022,14JAN2042,7288.91,561000.00,1000.00,SPRM,UW2,AG0049,BR023
P0000081,C0000168,HOME,ACTIVE,14MAY2022,13MAY2027,12172.42,755000.00,0.00,PREF,UW1,AG0045,BR010
P0000082,C0000072,RENT,ACTIVE,24APR2020,22APR2030,847.03,30000.00,1000.00,DEC,UW1,AG0042,BR011
P0000083,C0000175,TL,ACTIVE,03APR2023,26MAR2053,46883.11,1372000.00,1000.00,SPRM,UW2,AG0045,BR001
P0000084,C0000060,AUTO,ACTIVE,17JUN2021,17JUN2022,1474.00,46000.00,500.00,STD,UW4,AG0012,BR007
P0000085,C0000141,HLTH,ACTIVE,09NOV2021,07NOV2031,7769.60,378500.00,250.00,DEC,UW2,AG0027,BR023
P0000086,C0000016,AUTO,ACTIVE,26OCT2022,26OCT2023,2948.49,88000.00,500.00,PREF,UW2,AG0023,BR021
P0000087,C0000041,AUTO,ACTIVE,13DEC2021,13DEC2022,1773.38,82000.00,0.00,STD,UW1,AG0016,BR005
P0000088,C0000183,HLTH,EXPIRED,25DEC2020,09DEC2023,4365.92,240000.00,250.00,STD,UW4,AG0035,BR020
P0000089,C0000006,RENT,ACTIVE,04JAN2022,04JAN2023,271.20,33000.00,0.00,STD,UW1,AG0048,BR020
P0000090,C0000110,AUTO,EXPIRED,03NOV2020,10OCT2023,1233.30,99000.00,1000.00,SPRM,UW4,AG0014,BR024
P0000091,C0000060,UL,LAPSED,07DEC2021,30NOV2051,10230.34,1416000.00,2500.00,PREF,UW1,AG0020,BR005
P0000092,C0000037,HLTH,ACTIVE,15OCT2020,15OCT2021,2555.25,310000.00,500.00,STD,UW4,AG0004,BR012
P0000093,C0000044,HOME,CANCELLED,20JUN2023,19JUN2026,12026.91,827500.00,1000.00,SUB,UW4,AG0037,BR008
P0000094,C0000084,AUTO,ACTIVE,11AUG2022,11AUG2023,2472.95,66000.00,1000.00,DEC,UW2,AG0023,BR010
P0000095,C0000160,RENT,ACTIVE,03NOV2020,03NOV2021,560.94,25000.00,1000.00,PREF,UW3,AG0014,BR022
P0000096,C0000188,HOME,ACTIVE,15DEC2023,14DEC2024,12492.84,356500.00,2500.00,STD,UW3,AG0010,BR007
P0000097,C0000053,WL,ACTIVE,08NOV2023,03NOV2043,2707.33,339500.00,0.00,SPRM,UW2,AG0045,BR006
P0000098,C0000096,WL,ACTIVE,01SEP2020,25AUG2050,22602.96,716500.00,250.00,STD,UW4,AG0053,BR021
P0000099,C0000067,HLTH,ACTIVE,22JUL2020,22JUL2023,4172.18,221500.00,500.00,STD,UW1,AG0040,BR001
P0000100,C0000207,RENT,EXPIRED,30JUN2022,25OCT2023,2076.69,59500.00,250.00,STD,UW1,AG0010,BR008
P0000101,C0000249,AUTO,ACTIVE,23MAY2023,22MAY2024,2797.91,86000.00,500.00,DEC,UW3,AG0055,BR020
P0000102,C0000011,AUTO,LAPSED,26MAR2022,26MAR2023,1592.10,48000.00,250.00,SPRM,UW2,AG0039,BR022
P0000103,C0000071,HOME,ACTIVE,14JUN2021,12JUN2031,7007.71,207000.00,2500.00,SUB,UW3,AG0015,BR002
P0000104,C0000180,UL,LAPSED,25AUG2021,18AUG2051,7744.23,1092500.00,5000.00,PREF,UW4,AG0021,BR004
P0000105,C0000100,AUTO,LAPSED,25JAN2021,25JAN2024,654.52,80000.00,500.00,STD,UW1,AG0004,BR013
P0000106,C0000001,AUTO,ACTIVE,09MAY2022,04MAR2024,2371.67,75500.00,0.00,DEC,UW2,AG0020,BR019
P0000107,C0000213,TL,ACTIVE,10NOV2023,05NOV2043,9934.96,671500.00,2500.00,PREF,UW1,AG0022,BR014
P0000108,C0000086,WL,ACTIVE,22FEB2024,21FEB2025,13164.81,934500.00,250.00,SPRM,UW3,AG0002,BR018
P0000109,C0000248,UMBR,ACTIVE,15NOV2021,15NOV2022,83601.01,3507000.00,1000.00,STD,UW3,AG0045,BR010
P0000110,C0000053,HLTH,ACTIVE,01SEP2023,29AUG2033,6219.14,179000.00,2500.00,STD,UW4,AG0010,BR015
P0000111,C0000155,UMBR,ACTIVE,30MAY2022,27MAY2032,97527.38,3305000.00,5000.00,PREF,UW1,AG0013,BR012
P0000112,C0000034,HLTH,ACTIVE,15NOV2020,13NOV2030,8238.10,477000.00,0.00,SUB,UW4,AG0042,BR001
P0000113,C0000218,AUTO,ACTIVE,07AUG2022,07AUG2023,408.82,29500.00,5000.00,PREF,UW1,AG0051,BR025
P0000114,C0000047,HOME,ACTIVE,11SEP2022,10SEP2025,5825.85,267000.00,2500.00,SPRM,UW3,AG0005,BR006
P0000115,C0000078,HLTH,ACTIVE,24FEB2022,24FEB2023,10908.33,338500.00,250.00,PREF,UW3,AG0027,BR023
P0000116,C0000094,UMBR,ACTIVE,10DEC2021,10DEC2022,37934.11,4932000.00,1000.00,PREF,UW4,AG0033,BR021
P0000117,C0000072,TL,ACTIVE,14MAY2020,12MAY2030,26002.95,1853000.00,2500.00,PREF,UW3,AG0002,BR002
P0000118,C0000101,AUTO,ACTIVE,17JUN2021,16JUN2024,1262.00,28500.00,2500.00,PREF,UW2,AG0007,BR019
P0000119,C0000040,HOME,ACTIVE,01JAN2022,01JAN2023,12580.76,685500.00,1000.00,STD,UW3,AG0019,BR016
P0000120,C0000078,UMBR,ACTIVE,09SEP2021,09SEP2022,66485.02,4413500.00,5000.00,STD,UW3,AG0059,BR021
P0000121,C0000160,AUTO,LAPSED,25OCT2020,25OCT2021,1689.43,91500.00,0.00,STD,UW4,AG0054,BR024
P0000122,C0000117,UMBR,ACTIVE,11OCT2020,11OCT2023,21897.66,1779500.00,5000.00,STD,UW4,AG0030,BR014
P0000123,C0000004,TL,ACTIVE,08DEC2021,06DEC2031,29895.34,1176500.00,500.00,SPRM,UW2,AG0009,BR023
P0000124,C0000204,AUTO,ACTIVE,17NOV2022,14NOV2032,1209.74,69000.00,1000.00,SPRM,UW3,AG0033,BR010
P0000125,C0000009,HOME,ACTIVE,26JUN2020,24JUN2030,8368.16,294000.00,0.00,STD,UW3,AG0013,BR011
P0000126,C0000067,HLTH,ACTIVE,19JUL2022,16JUL2032,12891.68,494000.00,500.00,STD,UW2,AG0045,BR024
P0000127,C0000175,TL,ACTIVE,10APR2023,02APR2053,12119.29,1603500.00,2500.00,STD,UW1,AG0005,BR019
P0000128,C0000130,RENT,ACTIVE,25MAY2022,25MAY2023,1898.10,59000.00,1000.00,PREF,UW3,AG0053,BR023
P0000129,C0000181,UMBR,ACTIVE,04AUG2020,28JUL2023,99427.39,3418500.00,0.00,PREF,UW4,AG0023,BR024
P0000130,C0000031,HLTH,ACTIVE,09MAY2021,08MAY2024,3975.27,395500.00,500.00,STD,UW3,AG0026,BR020
P0000131,C0000222,AUTO,ACTIVE,28OCT2021,28OCT2022,1091.69,39500.00,500.00,STD,UW1,AG0034,BR008
P0000132,C0000199,AUTO,CANCELLED,25DEC2023,23DEC2028,757.73,45500.00,5000.00,SUB,UW3,AG0020,BR021
P0000133,C0000246,UL,LAPSED,02JAN2023,25DEC2052,27551.81,863500.00,0.00,STD,UW3,AG0037,BR007
P0000134,C0000151,TL,EXPIRED,13FEB2023,31DEC2023,1474.94,235500.00,5000.00,STD,UW4,AG0052,BR019
P0000135,C0000199,WL,ACTIVE,16JUL2021,11JUL2041,1294.71,128000.00,500.00,PREF,UW1,AG0041,BR022
P0000136,C0000190,HOME,CANCELLED,26SEP2021,26SEP2022,15426.94,470000.00,500.00,SPRM,UW4,AG0037,BR008
P0000137,C0000242,HOME,ACTIVE,21DEC2021,21DEC2022,7049.40,357500.00,2500.00,SUB,UW4,AG0057,BR008
P0000138,C0000055,AUTO,ACTIVE,03JAN2021,01JAN2031,782.45,75000.00,5000.00,PREF,UW2,AG0026,BR024
P0000139,C0000241,TL,ACTIVE,03DEC2023,28NOV2043,8539.96,381000.00,0.00,PREF,UW3,AG0042,BR007
P0000140,C0000076,HOME,ACTIVE,27APR2023,26APR2024,5906.90,618500.00,250.00,STD,UW1,AG0041,BR010
P0000141,C0000213,HLTH,ACTIVE,14JUL2022,13JUL2025,1546.21,231000.00,250.00,STD,UW1,AG0059,BR002
P0000142,C0000161,HOME,ACTIVE,18OCT2021,22MAR2024,18686.40,600500.00,500.00,STD,UW4,AG0053,BR010
P0000143,C0000119,TL,CANCELLED,21JUL2022,18JUL2032,5539.14,616500.00,5000.00,STD,UW3,AG0013,BR023
P0000144,C0000155,AUTO,ACTIVE,23DEC2020,23DEC2021,633.31,48000.00,0.00,STD,UW4,AG0024,BR016
P0000145,C0000077,HOME,EXPIRED,03APR2022,20JUL2023,13452.76,393500.00,250.00,STD,UW1,AG0028,BR004
P0000146,C0000206,HLTH,ACTIVE,05JUN2022,19MAR2024,5823.22,442000.00,5000.00,STD,UW2,AG0001,BR006
P0000147,C0000175,AUTO,CANCELLED,22MAR2023,21MAR2026,702.29,93500.00,2500.00,STD,UW4,AG0014,BR002
P0000148,C0000087,HLTH,ACTIVE,05DEC2022,04DEC2027,7480.03,270500.00,5000.00,STD,UW4,AG0029,BR014
P0000149,C0000148,UMBR,ACTIVE,16APR2021,16APR2022,27863.72,2309000.00,500.00,SUB,UW1,AG0017,BR018
P0000150,C0000001,HOME,LAPSED,05DEC2021,05DEC2022,29864.69,868500.00,2500.00,SPRM,UW3,AG0037,BR002
P0000151,C0000057,HOME,ACTIVE,20FEB2021,20FEB2022,22167.13,864500.00,250.00,PREF,UW3,AG0005,BR005
P0000152,C0000059,TL,ACTIVE,21JUL2022,24OCT2023,66634.59,1984500.00,2500.00,SUB,UW1,AG0023,BR005
P0000153,C0000065,RENT,ACTIVE,01JUL2023,30JUN2024,834.19,36000.00,500.00,PREF,UW1,AG0060,BR013
P0000154,C0000104,AUTO,ACTIVE,18JAN2021,18JAN2024,1630.46,90500.00,0.00,STD,UW4,AG0060,BR025
P0000155,C0000061,AUTO,ACTIVE,06MAR2022,03MAR2032,1210.02,76000.00,250.00,STD,UW4,AG0032,BR007
P0000156,C0000127,HLTH,CANCELLED,08JAN2021,07JAN2026,2111.17,361000.00,1000.00,SUB,UW2,AG0017,BR022
P0000157,C0000144,HLTH,ACTIVE,22JAN2021,22JAN2024,3179.12,124500.00,5000.00,STD,UW4,AG0022,BR020
P0000158,C0000006,HOME,ACTIVE,22SEP2021,21SEP2024,10623.22,478500.00,250.00,SUB,UW2,AG0033,BR025
P0000159,C0000208,HLTH,ACTIVE,29NOV2023,25JUL2023,5616.83,377000.00,250.00,PREF,UW4,AG0055,BR010
P0000160,C0000145,RENT,ACTIVE,14FEB2023,14FEB2024,732.68,36000.00,0.00,STD,UW2,AG0033,BR005
P0000161,C0000158,TL,ACTIVE,01OCT2023,28SEP2033,40405.87,1180500.00,250.00,SPRM,UW1,AG0057,BR023
P0000162,C0000219,RENT,LAPSED,08JAN2021,07JAN2026,1665.42,38000.00,0.00,SPRM,UW4,AG0043,BR021
P0000163,C0000133,HOME,ACTIVE,02NOV2023,13FEB2024,17089.64,751500.00,250.00,SUB,UW1,AG0037,BR022
P0000164,C0000158,HOME,ACTIVE,15DEC2022,14DEC2027,11379.15,505000.00,2500.00,PREF,UW3,AG0012,BR008
P0000165,C0000163,HOME,ACTIVE,21DEC2023,20DEC2024,11378.16,680000.00,0.00,SPRM,UW4,AG0039,BR024
P0000166,C0000072,HLTH,ACTIVE,14MAY2020,12MAY2030,1435.47,67000.00,1000.00,SUB,UW2,AG0056,BR001
P0000167,C0000202,HOME,ACTIVE,30JUN2022,07MAR2024,4524.52,204000.00,1000.00,PREF,UW2,AG0059,BR009
P0000168,C0000230,HOME,ACTIVE,27APR2021,19MAR2024,4610.27,199500.00,0.00,PREF,UW1,AG0027,BR025
P0000169,C0000065,TL,ACTIVE,07OCT2023,04OCT2033,16348.10,855500.00,0.00,STD,UW2,AG0019,BR013
P0000170,C0000103,AUTO,EXPIRED,16JAN2022,24DEC2023,1908.16,83000.00,2500.00,PREF,UW4,AG0028,BR011
P0000171,C0000082,AUTO,ACTIVE,01JUN2021,31MAY2026,2779.39,84000.00,2500.00,STD,UW1,AG0013,BR017
P0000172,C0000100,HOME,ACTIVE,28JUL2023,05MAR2024,2080.19,158000.00,500.00,PREF,UW2,AG0034,BR023
P0000173,C0000197,AUTO,ACTIVE,27MAY2022,19MAR2024,474.60,32500.00,500.00,PREF,UW1,AG0006,BR014
P0000174,C0000135,AUTO,LAPSED,22JUL2022,19JUL2032,1415.81,70500.00,1000.00,SUB,UW4,AG0052,BR005
P0000175,C0000202,AUTO,LAPSED,08DEC2022,07DEC2027,807.98,39500.00,500.00,PREF,UW1,AG0042,BR009
P0000176,C0000056,RENT,ACTIVE,07JAN2023,07JAN2024,1194.06,42500.00,250.00,STD,UW2,AG0017,BR002
P0000177,C0000038,HOME,EXPIRED,25JUL2020,08OCT2023,7218.06,378000.00,250.00,STD,UW3,AG0026,BR020
P0000178,C0000139,AUTO,CANCELLED,21JAN2022,20JAN2027,1611.38,94000.00,2500.00,PREF,UW2,AG0024,BR001
P0000179,C0000172,AUTO,ACTIVE,17JUN2021,17JUN2022,281.73,40500.00,250.00,STD,UW3,AG0041,BR015
P0000180,C0000127,AUTO,ACTIVE,17JUL2021,15JUL2031,2235.62,70000.00,0.00,STD,UW3,AG0054,BR025
P0000181,C0000182,HLTH,ACTIVE,04NOV2021,03NOV2024,4842.22,143500.00,1000.00,STD,UW1,AG0036,BR003
P0000182,C0000085,TL,LAPSED,26JAN2021,21JAN2041,29778.10,1741000.00,500.00,SPRM,UW3,AG0019,BR003
P0000183,C0000043,AUTO,CANCELLED,01JUN2023,29MAY2033,302.85,40000.00,1000.00,STD,UW4,AG0038,BR003
P0000184,C0000162,UMBR,ACTIVE,05MAR2022,04MAR2025,43162.69,4706000.00,5000.00,SPRM,UW2,AG0039,BR012
P0000185,C0000176,RENT,ACTIVE,24NOV2022,24NOV2023,734.58,16000.00,2500.00,PREF,UW3,AG0002,BR013
P0000186,C0000163,TL,ACTIVE,12MAY2021,07MAY2041,5074.35,332500.00,2500.00,STD,UW4,AG0008,BR004
P0000187,C0000084,AUTO,ACTIVE,30APR2023,29APR2024,1623.75,71000.00,500.00,SPRM,UW2,AG0005,BR012
P0000188,C0000233,WL,ACTIVE,14APR2023,06APR2053,6553.68,900500.00,500.00,STD,UW2,AG0053,BR016
P0000189,C0000188,TL,ACTIVE,21JAN2021,14JAN2051,2257.04,302000.00,0.00,STD,UW2,AG0043,BR008
P0000190,C0000229,HLTH,ACTIVE,22SEP2023,20SEP2028,2624.83,82500.00,250.00,STD,UW3,AG0049,BR004
P0000191,C0000142,AUTO,ACTIVE,26FEB2023,26FEB2024,1391.94,74500.00,250.00,STD,UW3,AG0029,BR013
P0000192,C0000151,TL,ACTIVE,29MAR2023,24MAR2043,10592.05,480500.00,5000.00,PREF,UW3,AG0044,BR001
P0000193,C0000066,AUTO,ACTIVE,08DEC2023,05DEC2033,1417.71,47000.00,1000.00,STD,UW4,AG0005,BR001
P0000194,C0000139,HOME,CANCELLED,05JUL2020,05JUL2023,4839.71,296500.00,1000.00,PREF,UW1,AG0011,BR005
P0000195,C0000124,WL,ACTIVE,16JUL2023,11JUL2043,17186.15,746500.00,0.00,SUB,UW3,AG0021,BR004
P0000196,C0000046,RENT,ACTIVE,23NOV2020,22NOV2025,1373.99,37000.00,1000.00,STD,UW1,AG0041,BR001
P0000197,C0000008,RENT,ACTIVE,18NOV2023,17NOV2024,659.89,34500.00,250.00,STD,UW3,AG0001,BR005
P0000198,C0000165,AUTO,LAPSED,24AUG2021,24AUG2022,1464.70,53500.00,0.00,SUB,UW2,AG0033,BR012
P0000199,C0000244,UMBR,ACTIVE,04NOV2022,04NOV2023,59647.47,3907000.00,2500.00,STD,UW1,AG0016,BR025
P0000200,C0000060,AUTO,ACTIVE,02JAN2022,01JAN2027,1806.21,88000.00,0.00,PREF,UW3,AG0056,BR019
P0000201,C0000147,HOME,ACTIVE,31MAR2021,29MAR2031,5465.40,520000.00,1000.00,STD,UW2,AG0013,BR002
P0000202,C0000133,WL,LAPSED,11FEB2022,04FEB2052,3949.26,408000.00,1000.00,SUB,UW2,AG0031,BR010
P0000203,C0000109,AUTO,LAPSED,21NOV2020,21NOV2023,1482.87,97500.00,1000.00,SUB,UW3,AG0007,BR005
P0000204,C0000108,HLTH,LAPSED,04MAY2023,02MAY2028,2263.45,213000.00,250.00,PREF,UW4,AG0021,BR013
P0000205,C0000087,UMBR,ACTIVE,02JAN2023,02JAN2024,49427.83,3822000.00,2500.00,SPRM,UW3,AG0022,BR018
P0000206,C0000148,AUTO,ACTIVE,18AUG2020,16AUG2030,1795.22,85000.00,5000.00,PREF,UW3,AG0022,BR023
P0000207,C0000204,HLTH,CANCELLED,03FEB2023,31JAN2033,2428.04,130500.00,5000.00,STD,UW1,AG0059,BR023
