PAYMENT_ID,POLICY_ID,PAYMENT_DATE,PREMIUM_AMOUNT,PAYMENT_STATUS
PM0000251,P0000109,15DEC2023,6966.75,POSTED
PM0000252,P0000109,20JAN2024,6966.75,POSTED
PM0000253,P0000110,15NOV2023,518.26,POSTED
PM0000254,P0000110,19DEC2023,518.26,POSTED
PM0000255,P0000110,16JAN2024,518.26,POSTED
PM0000256,P0000111,18NOV2023,8127.28,POSTED
PM0000257,P0000111,20DEC2023,8127.28,LATE
PM0000258,P0000111,16JAN2024,8127.28,POSTED
PM0000259,P0000112,17NOV2023,686.51,POSTED
PM0000260,P0000112,19DEC2023,686.51,POSTED
PM0000261,P0000112,17JAN2024,686.51,POSTED
PM0000262,P0000113,20NOV2023,34.07,LATE
PM0000263,P0000113,16DEC2023,34.07,POSTED
PM0000264,P0000114,15DEC2023,485.49,POSTED
PM0000265,P0000114,26JAN2024,485.49,LATE
PM0000266,P0000115,26NOV2023,909.03,LATE
PM0000267,P0000115,17DEC2023,909.03,POSTED
PM0000268,P0000115,17JAN2024,909.03,LATE
PM0000269,P0000116,19NOV2023,3161.18,POSTED
PM0000270,P0000116,17DEC2023,3161.18,POSTED
PM0000271,P0000116,19JAN2024,3161.18,LATE
PM0000272,P0000117,18NOV2023,2166.91,POSTED
PM0000273,P0000117,16DEC2023,2166.91,POSTED
PM0000274,P0000117,18JAN2024,2166.91,LATE
PM0000275,P0000118,15NOV2023,105.17,POSTED
PM0000276,P0000118,15DEC2023,105.17,POSTED
PM0000277,P0000119,15NOV2023,1048.40,POSTED
PM0000278,P0000119,20DEC2023,1048.40,POSTED
PM0000279,P0000119,17JAN2024,1048.40,POSTED
PM0000280,P0000120,15NOV2023,5540.42,POSTED
PM0000281,P0000120,27DEC2023,5540.42,LATE
PM0000282,P0000120,16JAN2024,5540.42,POSTED
PM0000283,P0000121,20NOV2023,140.79,POSTED
PM0000284,P0000121,15DEC2023,140.79,POSTED
PM0000285,P0000121,15JAN2024,140.79,POSTED
PM0000286,P0000122,24NOV2023,1824.81,LATE
PM0000287,P0000122,17DEC2023,1824.81,POSTED
PM0000288,P0000122,20JAN2024,1824.81,POSTED
PM0000289,P0000123,18NOV2023,2491.28,POSTED
PM0000290,P0000123,19JAN2024,2491.28,POSTED
PM0000291,P0000124,18NOV2023,100.81,POSTED
PM0000292,P0000124,17DEC2023,100.81,POSTED
PM0000293,P0000124,20JAN2024,100.81,POSTED
PM0000294,P0000125,20DEC2023,697.35,POSTED
PM0000295,P0000125,20JAN2024,697.35,POSTED
PM0000296,P0000126,18DEC2023,1074.31,POSTED
PM0000297,P0000126,19JAN2024,1074.31,POSTED
PM0000298,P0000127,20NOV2023,1009.94,RETURNED
PM0000299,P0000127,17DEC2023,1009.94,POSTED
PM0000300,P0000127,19JAN2024,1009.94,POSTED
PM0000301,P0000128,18NOV2023,158.17,POSTED
PM0000302,P0000128,25DEC2023,158.17,LATE
PM0000303,P0000128,20JAN2024,158.17,POSTED
PM0000304,P0000129,18NOV2023,8285.62,LATE
PM0000305,P0000129,18DEC2023,8285.62,POSTED
PM0000306,P0000129,15JAN2024,8285.62,RETURNED
PM0000307,P0000130,18NOV2023,331.27,LATE
PM0000308,P0000130,24DEC2023,331.27,LATE
PM0000309,P0000130,15JAN2024,331.27,POSTED
PM0000310,P0000131,15NOV2023,90.97,POSTED
PM0000311,P0000131,16DEC2023,90.97,POSTED
PM0000312,P0000131,15JAN2024,90.97,POSTED
PM0000313,P0000133,15NOV2023,2295.98,POSTED
PM0000314,P0000133,20DEC2023,2295.98,POSTED
PM0000315,P0000133,15JAN2024,2295.98,POSTED
PM0000316,P0000135,17NOV2023,107.89,POSTED
PM0000317,P0000135,17DEC2023,107.89,RETURNED
PM0000318,P0000135,18JAN2024,107.89,POSTED
PM0000319,P0000137,16DEC2023,587.45,POSTED
PM0000320,P0000137,15JAN2024,587.45,POSTED
PM0000321,P0000138,19NOV2023,65.20,POSTED
PM0000322,P0000138,20DEC2023,65.20,POSTED
PM0000323,P0000138,15JAN2024,65.20,POSTED
PM0000324,P0000139,19NOV2023,711.66,POSTED
PM0000325,P0000139,16DEC2023,711.66,POSTED
PM0000326,P0000140,18NOV2023,492.24,POSTED
PM0000327,P0000140,19DEC2023,492.24,POSTED
PM0000328,P0000140,18JAN2024,492.24,LATE
PM0000329,P0000141,18NOV2023,128.85,POSTED
PM0000330,P0000141,19DEC2023,128.85,POSTED
PM0000331,P0000141,20JAN2024,128.85,POSTED
PM0000332,P0000142,16NOV2023,1557.20,POSTED
PM0000333,P0000142,19DEC2023,1557.20,POSTED
PM0000334,P0000142,15JAN2024,1557.20,POSTED
PM0000335,P0000144,15NOV2023,52.78,POSTED
PM0000336,P0000144,18DEC2023,52.78,POSTED
PM0000337,P0000144,17JAN2024,52.78,POSTED
PM0000338,P0000146,20NOV2023,485.27,POSTED
PM0000339,P0000146,15DEC2023,485.27,POSTED
PM0000340,P0000146,17JAN2024,485.27,POSTED
PM0000341,P0000148,20NOV2023,623.34,POSTED
PM0000342,P0000148,19DEC2023,623.34,POSTED
PM0000343,P0000148,15JAN2024,623.34,POSTED
PM0000344,P0000149,18NOV2023,2321.98,POSTED
PM0000345,P0000149,22DEC2023,2321.98,LATE
PM0000346,P0000149,19JAN2024,2321.98,POSTED
PM0000347,P0000150,18NOV2023,2488.72,POSTED
PM0000348,P0000150,17DEC2023,2488.72,POSTED
PM0000349,P0000150,20JAN2024,2488.72,POSTED
PM0000350,P0000151,15NOV2023,1847.26,POSTED
PM0000351,P0000151,20JAN2024,1847.26,POSTED
PM0000352,P0000152,17NOV2023,5552.88,POSTED
PM0000353,P0000152,18DEC2023,5552.88,POSTED
PM0000354,P0000153,17NOV2023,69.52,POSTED
PM0000355,P0000153,20DEC2023,69.52,POSTED
PM0000356,P0000153,23JAN2024,69.52,LATE
PM0000357,P0000154,16NOV2023,135.87,POSTED
PM0000358,P0000154,20DEC2023,135.87,LATE
PM0000359,P0000154,17JAN2024,135.87,POSTED
PM0000360,P0000155,16NOV2023,100.83,POSTED
PM0000361,P0000155,20DEC2023,100.83,POSTED
PM0000362,P0000155,23JAN2024,100.83,LATE
PM0000363,P0000157,17NOV2023,264.93,POSTED
PM0000364,P0000157,18DEC2023,264.93,LATE
PM0000365,P0000157,19JAN2024,264.93,POSTED
PM0000366,P0000158,15NOV2023,885.27,POSTED
PM0000367,P0000158,19DEC2023,885.27,POSTED
PM0000368,P0000158,20JAN2024,885.27,POSTED
PM0000369,P0000159,15NOV2023,468.07,POSTED
PM0000370,P0000159,18DEC2023,468.07,POSTED
PM0000371,P0000159,20JAN2024,468.07,POSTED
PM0000372,P0000160,19NOV2023,61.06,POSTED
PM0000373,P0000160,19DEC2023,61.06,LATE
PM0000374,P0000160,18JAN2024,61.06,POSTED
PM0000375,P0000161,15NOV2023,3367.16,POSTED
PM0000376,P0000161,17DEC2023,3367.16,POSTED
PM0000377,P0000161,19JAN2024,3367.16,POSTED
PM0000378,P0000162,20NOV2023,138.78,POSTED
PM0000379,P0000162,20DEC2023,138.78,POSTED
PM0000380,P0000162,19JAN2024,138.78,POSTED
PM0000381,P0000163,19NOV2023,1424.14,POSTED
PM0000382,P0000163,20JAN2024,1424.14,POSTED
PM0000383,P0000164,16NOV2023,948.26,POSTED
PM0000384,P0000164,17DEC2023,948.26,POSTED
PM0000385,P0000164,16JAN2024,948.26,POSTED
PM0000386,P0000165,16DEC2023,948.18,POSTED
PM0000387,P0000165,15JAN2024,948.18,POSTED
PM0000388,P0000166,15NOV2023,119.62,POSTED
PM0000389,P0000166,19JAN2024,119.62,POSTED
PM0000390,P0000167,15DEC2023,377.04,POSTED
PM0000391,P0000167,19JAN2024,377.04,POSTED
PM0000392,P0000168,18NOV2023,384.19,POSTED
PM0000393,P0000168,16DEC2023,384.19,RETURNED
PM0000394,P0000168,23JAN2024,384.19,LATE
PM0000395,P0000169,24NOV2023,1362.34,LATE
PM0000396,P0000169,17DEC2023,1362.34,RETURNED
PM0000397,P0000169,20JAN2024,1362.34,POSTED
PM0000398,P0000171,19DEC2023,231.62,POSTED
PM0000399,P0000171,19JAN2024,231.62,POSTED
PM0000400,P0000172,20NOV2023,173.35,POSTED
PM0000401,P0000172,15DEC2023,173.35,RETURNED
PM0000402,P0000172,15JAN2024,173.35,POSTED
PM0000403,P0000173,16NOV2023,39.55,RETURNED
PM0000404,P0000173,27DEC2023,39.55,LATE
PM0000405,P0000173,20JAN2024,39.55,POSTED
PM0000406,P0000174,17NOV2023,117.98,RETURNED
PM0000407,P0000174,15DEC2023,117.98,POSTED
PM0000408,P0000174,17JAN2024,117.98,POSTED
PM0000409,P0000175,19NOV2023,67.33,POSTED
PM0000410,P0000175,15DEC2023,67.33,POSTED
PM0000411,P0000175,19JAN2024,67.33,POSTED
PM0000412,P0000176,15NOV2023,99.50,POSTED
PM0000413,P0000176,15JAN2024,99.50,POSTED
PM0000414,P0000179,18NOV2023,23.48,POSTED
PM0000415,P0000179,17JAN2024,23.48,POSTED
PM0000416,P0000180,15NOV2023,186.30,POSTED
PM0000417,P0000180,22DEC2023,186.30,LATE
PM0000418,P0000181,18NOV2023,403.52,RETURNED
PM0000419,P0000181,16DEC2023,403.52,POSTED
PM0000420,P0000181,18JAN2024,403.52,POSTED
PM0000421,P0000182,18NOV2023,2481.51,POSTED
PM0000422,P0000182,20DEC2023,2481.51,POSTED
PM0000423,P0000182,20JAN2024,2481.51,POSTED
PM0000424,P0000184,19NOV2023,3596.89,POSTED
PM0000425,P0000184,20DEC2023,3596.89,POSTED
PM0000426,P0000184,19JAN2024,3596.89,POSTED
PM0000427,P0000185,18NOV2023,61.22,POSTED
PM0000428,P0000185,16DEC2023,61.22,POSTED
PM0000429,P0000185,15JAN2024,61.22,POSTED
PM0000430,P0000186,16NOV2023,422.86,POSTED
PM0000431,P0000186,18DEC2023,422.86,POSTED
PM0000432,P0000186,18JAN2024,422.86,POSTED
PM0000433,P0000187,17NOV2023,135.31,POSTED
PM0000434,P0000187,20JAN2024,135.31,LATE
PM0000435,P0000188,20NOV2023,546.14,POSTED
PM0000436,P0000188,19DEC2023,546.14,POSTED
PM0000437,P0000189,17NOV2023,188.09,POSTED
PM0000438,P0000189,17DEC2023,188.09,POSTED
PM0000439,P0000190,18NOV2023,218.74,POSTED
PM0000440,P0000190,19DEC2023,218.74,LATE
PM0000441,P0000191,15NOV2023,116.00,POSTED
PM0000442,P0000191,17DEC2023,116.00,POSTED
PM0000443,P0000191,16JAN2024,116.00,POSTED
PM0000444,P0000192,18NOV2023,882.67,POSTED
PM0000445,P0000192,15DEC2023,882.67,POSTED
PM0000446,P0000192,18JAN2024,882.67,LATE
PM0000447,P0000193,21NOV2023,118.14,LATE
PM0000448,P0000193,18DEC2023,118.14,RETURNED
PM0000449,P0000193,16JAN2024,118.14,POSTED
PM0000450,P0000195,15JAN2024,1432.18,POSTED
PM0000451,P0000196,15NOV2023,114.50,RETURNED
PM0000452,P0000196,16DEC2023,114.50,POSTED
PM0000453,P0000196,15JAN2024,114.50,LATE
PM0000454,P0000197,18NOV2023,54.99,POSTED
PM0000455,P0000197,20DEC2023,54.99,POSTED
PM0000456,P0000197,19JAN2024,54.99,POSTED
PM0000457,P0000198,15DEC2023,122.06,POSTED
PM0000458,P0000198,19JAN2024,122.06,POSTED
PM0000459,P0000199,15NOV2023,4970.62,POSTED
PM0000460,P0000199,19DEC2023,4970.62,POSTED
PM0000461,P0000199,15JAN2024,4970.62,POSTED
PM0000462,P0000200,19NOV2023,150.52,POSTED
PM0000463,P0000200,25DEC2023,150.52,LATE
PM0000464,P0000201,20NOV2023,455.45,POSTED
PM0000465,P0000201,15DEC2023,455.45,POSTED
PM0000466,P0000201,15JAN2024,455.45,POSTED
PM0000467,P0000202,15DEC2023,329.11,POSTED
PM0000468,P0000202,20JAN2024,329.11,POSTED
PM0000469,P0000203,15NOV2023,123.57,POSTED
PM0000470,P0000203,18DEC2023,123.57,LATE
PM0000471,P0000203,20JAN2024,123.57,POSTED
PM0000472,P0000204,16NOV2023,188.62,RETURNED
PM0000473,P0000204,19DEC2023,188.62,POSTED
PM0000474,P0000205,19NOV2023,4118.99,RETURNED
PM0000475,P0000205,20DEC2023,4118.99,RETURNED
PM0000476,P0000205,15JAN2024,4118.99,POSTED
PM0000477,P0000206,19NOV2023,149.60,POSTED
PM0000478,P0000206,18DEC2023,149.60,POSTED
PM0000479,P0000206,15JAN2024,149.60,POSTED
PM0000480,P0000208,21NOV2023,595.35,LATE
PM0000481,P0000208,15DEC2023,595.35,LATE
PM0000482,P0000208,19JAN2024,595.35,POSTED
PM0000483,P0000209,17NOV2023,948.92,POSTED
PM0000484,P0000209,16DEC2023,948.92,POSTED
PM0000485,P0000209,18JAN2024,948.92,POSTED
PM0000486,P0000210,16DEC2023,1373.50,POSTED
PM0000487,P0000210,20JAN2024,1373.50,LATE
PM0000488,P0000211,18DEC2023,145.68,POSTED
PM0000489,P0000211,15JAN2024,145.68,POSTED
PM0000490,P0000212,17NOV2023,53.12,POSTED
PM0000491,P0000212,19DEC2023,53.12,RETURNED
PM0000492,P0000212,16JAN2024,53.12,POSTED
PM0000493,P0000214,15NOV2023,4977.55,POSTED
PM0000494,P0000214,15DEC2023,4977.55,POSTED
PM0000495,P0000214,15JAN2024,4977.55,POSTED
PM0000496,P0000216,20NOV2023,166.01,POSTED
PM0000497,P0000216,17DEC2023,166.01,POSTED
PM0000498,P0000217,20NOV2023,1703.59,POSTED
PM0000499,P0000217,19DEC2023,1703.59,POSTED
PM0000500,P0000217,16JAN2024,1703.59,LATE
PM0000501,P0000218,19JAN2024,1229.23,POSTED
PM0000502,P0000219,16NOV2023,587.01,POSTED
PM0000503,P0000219,17DEC2023,587.01,POSTED
PM0000504,P0000219,18JAN2024,587.01,POSTED
PM0000505,P0000220,20NOV2023,846.24,POSTED
PM0000506,P0000220,17DEC2023,846.24,POSTED
PM0000507,P0000220,19JAN2024,846.24,POSTED
PM0000508,P0000221,20DEC2023,1769.07,POSTED
PM0000509,P0000222,18NOV2023,1736.00,POSTED
PM0000510,P0000222,16DEC2023,1736.00,RETURNED
